camera_x,camera_y,camera_z,base_x,base_y,base_z
-0.111938277,0.028028004,0.351000011,0.321000000,0.126000000,0.053000000
-0.071422497,0.028597985,0.351000011,0.321000000,0.081000000,0.053000000
-0.073303857,0.000113315,0.402000010,0.379000000,0.072000000,0.053000000
0.005360048,0.030996159,0.373000026,0.329000000,0.001000000,0.054000000
0.125005178,0.038833928,0.336000025,0.289000000,-0.117000000,0.069000000
0.050673815,0.060857037,0.440000027,0.369000000,-0.057000000,-0.000000000
0.070786422,0.110222390,0.346000016,0.269000000,-0.065000000,0.000000000
-0.019011715,0.052388866,0.447000027,0.386000000,0.016000000,0.000000000
0.024005533,0.059660467,0.412000030,0.350000000,-0.022000000,0.012000000
-0.047129752,0.009384711,0.318000019,0.294000000,0.063000000,0.096000000
0.123525637,0.085355863,0.386000007,0.313500000,-0.111000000,0.008000000
